Rk,Team
1,"Houston   1 seed, Finals"
2,"Duke   1 seed, Final Four"
3,"Auburn   1 seed, Final Four"
4,"Florida   1 seed, CHAMPS"
5,"Alabama   2 seed, Elite Eight"
6,"Tennessee   2 seed, Elite Eight"
7,"Texas Tech   3 seed, Elite Eight"
8,"Gonzaga   8 seed, R32"
9,"Maryland   4 seed, Sweet Sixteen"
10,"Arizona   4 seed, Sweet Sixteen"
11,"Iowa St.   3 seed, R32"
12,"Wisconsin   3 seed, R32"
13,"Michigan St.   2 seed, Elite Eight"
14,"BYU   6 seed, Sweet Sixteen"
15,"Purdue   4 seed, Sweet Sixteen"
16,"St. John's   2 seed, R32"
17,"Kentucky   3 seed, Sweet Sixteen"
18,"UCLA   7 seed, R32"
19,"Missouri   6 seed, R64"
20,"Illinois   6 seed, R32"
21,"Texas A&M   4 seed, R32"
22,"Kansas   7 seed, R64"
23,"Michigan   5 seed, Sweet Sixteen"
24,"Mississippi   6 seed, Sweet Sixteen"
25,"Louisville   8 seed, R64"
26,"Saint Mary's   7 seed, R32"
27,"Clemson   5 seed, R64"
28,"Oregon   5 seed, R32"
29,"Baylor   9 seed, R32"
30,"Marquette   7 seed, R64"
31,"Creighton   9 seed, R32"
32,"VCU   11 seed, R64"
33,"Connecticut   8 seed, R32"
34,"North Carolina   11 seed, R64"
35,"Georgia   9 seed, R64"
36,"Mississippi St.   8 seed, R64"
37,"Arkansas   10 seed, Sweet Sixteen"
38,West Virginia
39,"Colorado St.   12 seed, R32"
40,"Xavier   11 seed, R64"
41,Ohio St.
42,"New Mexico   10 seed, R32"
43,"Vanderbilt   10 seed, R64"
44,Cincinnati
45,"Texas   11 seed, R68"
46,Santa Clara
47,"Oklahoma   9 seed, R64"
48,Northwestern
49,Boise St.
50,Indiana
51,Villanova
52,"UC San Diego   12 seed, R64"
53,"Drake   11 seed, R32"
54,"Utah St.   10 seed, R64"
55,SMU
56,USC
57,Nebraska
58,Kansas St.
59,"San Diego St.   11 seed, R68"
60,"McNeese St.   12 seed, R32"
61,Penn St.
62,"Liberty   12 seed, R64"
63,"Memphis   5 seed, R64"
64,Iowa
65,San Francisco
66,Rutgers
67,Arizona St.
68,Utah
69,UCF
70,North Texas
71,Wake Forest
72,Pittsburgh
73,South Carolina
74,George Mason
75,TCU
76,Stanford
77,Butler
78,"Yale   13 seed, R64"
79,Dayton
80,LSU
81,Colorado
82,"High Point   13 seed, R64"
83,Saint Joseph's
84,Minnesota
85,UC Irvine
86,Oklahoma St.
87,Bradley
88,Arkansas St.
89,Nevada
90,"Grand Canyon   13 seed, R64"
91,Oregon St.
92,UNLV
93,Loyola Chicago
94,UAB
95,Florida St.
96,Georgetown
97,Virginia
98,St. Bonaventure
99,"Troy   14 seed, R64"
100,"Akron   13 seed, R64"
101,Notre Dame
102,Georgia Tech
103,Washington St.
104,Northern Iowa
105,Providence
106,New Mexico St.
107,"Lipscomb   14 seed, R64"
108,"UNC Wilmington   14 seed, R64"
109,Syracuse
110,Washington
111,St. Thomas
112,Kent St.
113,DePaul
114,Florida Atlantic
115,Utah Valley
116,N.C. State
117,Northern Colorado
118,Middle Tennessee
119,Chattanooga
120,George Washington
121,Saint Louis
122,Illinois St.
123,North Dakota St.
124,Jacksonville St.
125,North Alabama
126,Belmont
127,California
128,Cornell
129,Kennesaw St.
130,Duquesne
131,South Alabama
